Total, Tổng cộng
Order, Đơn hàng
Sku, Mã SKU
Continue to shipping, Tiếp tục đến phần giao hàng
Continue shopping, Tiếp tục mua sắm
Continue Shopping, Tiếp tục mua sắm
CONTINUE SHOPPING, TIẾP TỤC MUA SẮM
Shopping cart, Giỏ hàng
Product, Sản phẩm
Price, Giá
Quantity, Số lượng
Remove, Xóa
Qty, SL
Sub total, Tạm tính
Discount($coupon), Giảm giá($coupon)
Order summary, Tóm tắt đơn hàng
Taxes and shipping calculated at checkout, Thuế và phí giao hàng được tính khi thanh toán
CHECKOUT, THANH TOÁN
Change, Thay đổi
Payment Method, Phương thức thanh toán
Shipping Address, Địa chỉ giao hàng
Shipping Method, Phương thức giao hàng
No payment methods available, Không có phương thức thanh toán khả dụng
Place Order, Đặt hàng
My billing address is same as shipping address, Địa chỉ thanh toán của tôi giống với địa chỉ giao hàng
$count items, $count sản phẩm
Discount, Giảm giá
Shipping, Giao hàng
No tax, Không có thuế
Tax, Thuế
Sorry, there is no available method for your address, Rất tiếc, không có phương thức giao hàng phù hợp với địa chỉ của bạn
Please enter a shipping address in order to see shipping quotes, Vui lòng nhập địa chỉ giao hàng để xem phí vận chuyển
Continue to payment, Tiếp tục đến thanh toán
No payment method available, Không có phương thức thanh toán khả dụng
Ship to, Gửi đến
Shipment, Giao hàng
Thank you $name!, Cảm ơn bạn $name!
Contact information, Thông tin liên hệ
Order #$orderNumber, Đơn hàng #$orderNumber
ADD TO CART, THÊM VÀO GIỎ HÀNG
Please select variant options, Vui lòng chọn các tùy chọn biến thể
VIEW CART ($count), XEM GIỎ HÀNG ($count)
JUST ADDED TO YOUR CART, VỪA ĐƯỢC THÊM VÀO GIỎ HÀNG CỦA BẠN
Promotion code?, Mã khuyến mãi?
Enter coupon code, Nhập mã giảm giá
Apply, Áp dụng
Your cart is empty!, Giỏ hàng của bạn đang trống!
Full name, Họ và tên
Telephone, Số điện thoại
Address, Địa chỉ
City, Quận/huyện
Country, Quốc gia
Postcode, Mã bưu điện
Inclusive of tax, Đã bao gồm thuế
Sorry, there is no available method for your address, Rất tiếc, không có phương thức giao hàng phù hợp với địa chỉ của bạn
Full name is required, Họ và tên là bắt buộc
Telephone is required, Số điện thoại là bắt buộc
Address is required, Địa chỉ là bắt buộc
City is required, Quận/huyện là bắt buộc
Country is required, Quốc gia là bắt buộc
Postcode is required, Mã bưu điện là bắt buộc
Contact, Liên hệ
